title,lat,lng,category
Parque Fundidora,25.681137,-100.290555,City
Parque La Huasteca,25.644647,-100.495097,Nature
Macroplaza,25.671665,-100.309238,City
Parque Ecológico Chipinque,25.592479,-100.363312,Nature
Museo del Acero,25.674036,-100.285474,City
Cañón de la Huasteca,25.644255,-100.497595,Nature
Planetario Alfa,25.626978,-100.306524,City
Grutas de García,25.797526,-100.594676,Nature
